date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:34:00,bitflyer,btc_jpy,267785,264580,1.2113538438,267785,268100,267785,268100,65749.9841031,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,korbit,btc_krw,3056000,3140500,-2.6906543544,3056000,3059500,3002000,3150000,6481.31750277,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,bitstamp,btc_usd,2334,2215,5.3724604966,2332.18,2334,2154.28,2334,16751.72885749,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,okcoin,btc_usd,2438.99,2211.46,10.2886780679,2435.05,2437.95,2129.78,2465.37,4934.514,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,korbit,etc_krw,21800,24300,-10.2880658436,21780,21780,21000,24340,640286.9537019439,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,bitflyer,eth_btc,0.0965,0.10599,-8.953674875,0.0965,0.09675,0.0965,0.09675,15390.5817496,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,korbit,eth_krw,293700,327000,-10.1834862385,293200,293600,274000,329450,245529.4642390887,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,bitflyer,fx_btc_jpy,273800,264455,3.5336824791,273548,273550,273548,273550,65749.9775439,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:34:00,okcoin,ltc_usd,27.177,24.663,10.1934071281,27.191,27.199,23.2,27.35,225317.831,2017-06-01 01:33:38,2017-06-01 01:33:38
2017-06-01,2017-06-01 10:35:00,bitstamp,btc_eur,2074.95,1990.52,4.2416052087,2070.95,2080.87,1955.9,2083.99,2140.48492834,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,bitflyer,btc_jpy,268150,264285,1.462436385,267830,268150,267830,268150,65736.6335682,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,korbit,btc_krw,3056500,3139000,-2.6282255495,3063000,3063500,3002000,3150000,6485.60932183,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,bitstamp,btc_usd,2333.89,2209.44,5.632648997,2332.39,2333.95,2154.28,2334,16732.38947161,2017-06-01 01:34:37,2017-06-01 01:34:37
